source,raw_text
youtube,"cam on  nha, Thoi khong coi kich cua Tran Thanh  dong, that phan cam"
youtube,"Vlog rì viu đồ ăn mà chỉ ngắm Hari Won thoi, 2 vợ chồng dễ thương quá chừng!!"
youtube,Anh sắm con poket 3 của Dji á quay vlog là êm nó tự cân sáng hết tất cả các môi trường và ko bị chớp dưới đèn led lỏ
youtube,"<a href=""https://www.youtube.com/watch?v=ZeXK3xLj-WU&amp;t=666"">11:06</a> “ Dạ xin cảm ơn chị “mà bà chị trả lời “ Thanks “ 😂😂 tua đi tua lại khúc đó coi vẫn thấy mắc cười, ngta người Hàn mà cha xìn chả nói tiếng việt 🤣 chắc a xìn quăng miếng thôi"
youtube,Anh tran thanh gia dinh em rat thich xem
youtube,"<a href=""https://www.youtube.com/watch?v=ZeXK3xLj-WU&amp;t=2143"">35:43</a> choãiiii nước mínnnnn"
youtube,"z đó mà nhìn miệng 2 vợ chồng anh chị là em chảy nước mínnnnnn <a href=""https://www.youtube.com/watch?v=ZeXK3xLj-WU&amp;t=1032"">17:12</a>"
youtube,thích xem ghê
youtube,coi review food street thôi mà cười quá cười :)))
youtube,"<a href=""https://www.youtube.com/watch?v=ZeXK3xLj-WU&amp;t=1302"">21:42</a> bà hari😂"
youtube,Hari người nước nào vậy😊
youtube,Nhìn ông này cỡ 25 tuổi😊
youtube,"<a href=""https://www.youtube.com/watch?v=ZeXK3xLj-WU&amp;t=1304"">21:44</a> nhìn chị Ri ăn ngon quá =))))))"
youtube,❤❤❤❤❤❤
youtube,Ước hạnh phúc với quay đc vlog như anh chị 🙄
youtube,Minh khôi ❤hoài Anh
youtube,"Xem 2 anh chị vừa hài vừa hay,đáng iuu😊"
youtube,"Thích coi chương trình này của ổng bả ghê mà bây giờ ít thấy quay như vậy nữa chắc do ổng bận rộn quá,2 vợ chồng dễ thương ghê"
youtube,Anh mời Tuấn Trần với Phương Anh Đào đi đảm bảo view cao!
youtube,Ông quay phim rung quá nhìn chóng mặt 😂😂😂
youtube,Bận đạo diễn phim quá nên STT chờ mãi chưa có tập mới lun 😢 nhớ chị Hari quá! Hy vọng tập sau với c Hari tiếp để xem cho đã cái nư 💕
youtube,Bh quay tiếp vậy a ?
youtube,coi a xìn cười xỉu. &quot; ăn dữ zậy bà&quot; =))))
youtube,Không hiểu sao khí xem TT và Hari thì mình cảm thấy giống DuyNisa quá à!  🤣😆
youtube,"Takk! Chúc hai vợ chồng năm mới mạnh mẻ, vui vẻ, an lạc và vạn sự như ý 🙏"
youtube,mời Bạch Hồng Cường đi ạ❤❤❤
youtube,Để í cái mắt kiến của tt đeo là vĩnh đam đeo trong phim Thỏ ơi â
youtube,Xem cười đau bụng luôn.hari dể thương quá.còn trấn thành nói chuyện cười bung nóc.hai người sinh ra là để dành cho nhau vậy …cưng xỉu
youtube,Thề anh thành hài và dễ thương tinh tế mà sao ngày xưa anh bị toxic vậy
youtube,Chú trấn Thành ơi ngón quá bữa nào cho con đi chơi với nhà chú
youtube,De thuong vc xin ri ❤❤
