thread_url,post_index,author,created_at,text
https://voz.vn/t/chang-trai-%C4%90a-nang-ngo-ngang-khi-lan-%C4%91au-an-xoi-che-caramel-o-ha-noi.1196080/,1,thenormalguy,2026-01-12T16:35:03+0700,Link bài gốc: https://laodong.vn/du-lich/am-thuc/...-dau-an-xoi-che-caramel-o-ha-noi-1637162.html tí tối về sẽ làm bát xôi chè
https://voz.vn/t/chang-trai-%C4%90a-nang-ngo-ngang-khi-lan-%C4%91au-an-xoi-che-caramel-o-ha-noi.1196080/,2,Shades (GreatSwords),2026-01-12T16:36:24+0700,trời lạnh thế này làm bát xôi chè nóng đã thật
https://voz.vn/t/chang-trai-%C4%90a-nang-ngo-ngang-khi-lan-%C4%91au-an-xoi-che-caramel-o-ha-noi.1196080/,3,kun_mr.liar6,2026-01-12T16:38:46+0700,"mẹ bánh flan với chè ỷ đà nẵng thiếu mẹ gì, thằng này đà nẵng nào thế mà chưa đc ăn?"
https://voz.vn/t/chang-trai-%C4%90a-nang-ngo-ngang-khi-lan-%C4%91au-an-xoi-che-caramel-o-ha-noi.1196080/,4,dennisjack,2026-01-12T16:40:24+0700,Ku này vào miền tây ăn chắc viết chục bài
https://voz.vn/t/chang-trai-%C4%90a-nang-ngo-ngang-khi-lan-%C4%91au-an-xoi-che-caramel-o-ha-noi.1196080/,5,Vipday2,2026-01-12T16:41:31+0700,"cực ghét món caramel luôn chả hiểu sao, cho cũng k ăn"
https://voz.vn/t/chang-trai-%C4%90a-nang-ngo-ngang-khi-lan-%C4%91au-an-xoi-che-caramel-o-ha-noi.1196080/,6,thenormalguy,2026-01-12T16:42:51+0700,làm bát mỳ bò đài loan nhiều dưa cải với nước béo béo xong quất bát xôi chè
https://voz.vn/t/chang-trai-%C4%90a-nang-ngo-ngang-khi-lan-%C4%91au-an-xoi-che-caramel-o-ha-noi.1196080/,7,Zenfox,2026-01-12T16:44:59+0700,"Ngỡ ngàng cđb, có thế cũng lên báo."
https://voz.vn/t/chang-trai-%C4%90a-nang-ngo-ngang-khi-lan-%C4%91au-an-xoi-che-caramel-o-ha-noi.1196080/,8,Net.Dep,2026-01-12T16:45:41+0700,"Tôi cũng vậy, vị đắng pha khét, vị như ăn cơm cháy quá lửa."
https://voz.vn/t/chang-trai-%C4%90a-nang-ngo-ngang-khi-lan-%C4%91au-an-xoi-che-caramel-o-ha-noi.1196080/,9,mrrua1890,2026-01-12T16:45:55+0700,xôi chè bà rồng ăn cũng ổn thôi nhưng giá đắt gấp rưỡi các chỗ khác
https://voz.vn/t/chang-trai-%C4%90a-nang-ngo-ngang-khi-lan-%C4%91au-an-xoi-che-caramel-o-ha-noi.1196080/,10,khangpham,2026-01-12T16:46:49+0700,"Chè HN hợp với một thằng SG như mình mới hay Ngọt thanh và đơn giản Mình hay ăn chè đậu đen và hoa cau, bà cốt..."
https://voz.vn/t/chang-trai-%C4%90a-nang-ngo-ngang-khi-lan-%C4%91au-an-xoi-che-caramel-o-ha-noi.1196080/,11,Design Pattern,2026-01-12T16:47:32+0700,vl thế mà cũng mua bài lên báodc
https://voz.vn/t/chang-trai-%C4%90a-nang-ngo-ngang-khi-lan-%C4%91au-an-xoi-che-caramel-o-ha-noi.1196080/,12,thenormalguy,2026-01-12T16:47:56+0700,"hơi đắt thật tôi hay ăn gần nhà, khu đội cấn"
https://voz.vn/t/chang-trai-%C4%90a-nang-ngo-ngang-khi-lan-%C4%91au-an-xoi-che-caramel-o-ha-noi.1196080/,13,mrrua1890,2026-01-12T16:50:38+0700,"t hay ăn mạn hồng mai, xôi chè bánh trôi tàu loanh quanh 12-15k mà ngon hơn hẳn bà rồng ăn mấy năm trước loanh quanh đã 20-25k rồi"
https://voz.vn/t/chang-trai-%C4%90a-nang-ngo-ngang-khi-lan-%C4%91au-an-xoi-che-caramel-o-ha-noi.1196080/,14,thenormalguy,2026-01-12T16:52:47+0700,"loanh quanh 5 thì 10 hoạ tôi mới qua bà rồng, tại vì nó méo thuận đường mà nó đắt nữa kem xôi thì hay ra kim mã chẹp chẹp nhắc thèm quá"
https://voz.vn/t/chang-trai-%C4%90a-nang-ngo-ngang-khi-lan-%C4%91au-an-xoi-che-caramel-o-ha-noi.1196080/,15,mrrua1890,2026-01-12T16:54:04+0700,"quả kem xôi huyền thoại tuổi thơ thật, giờ thấy ít người bán"
https://voz.vn/t/chang-trai-%C4%90a-nang-ngo-ngang-khi-lan-%C4%91au-an-xoi-che-caramel-o-ha-noi.1196080/,16,thenormalguy,2026-01-12T16:56:35+0700,"đoạn kim mã đường bé đấy, trên map là 289 kim mã, vẫn bán, vẫn đông khách tôi hay loanh quanh khu đấy tại trên đường đi làm về. ăn sushi hoặc ăn mì quanh đấy rồi qua làm bát kem xôi, uống cốc nước vối rồi về tôi lại ko thích kem xôi ở hai bà trưng với cả quang trung, cả lò đúc nữa"
https://voz.vn/t/chang-trai-%C4%90a-nang-ngo-ngang-khi-lan-%C4%91au-an-xoi-che-caramel-o-ha-noi.1196080/,17,vananhhau03,2026-01-12T17:01:08+0700,"Ăn xong anh chỉ kịp kêu lên 1 tiếng Á !!! Sau đó lăn ra đất thít cơ mông để ko phọt ra, cuối cùng anh được người dân chở đi bệnh viện"
https://voz.vn/t/chang-trai-%C4%90a-nang-ngo-ngang-khi-lan-%C4%91au-an-xoi-che-caramel-o-ha-noi.1196080/,18,mrrua1890,2026-01-12T17:23:46+0700,"mai phải ra ăn mới được, ngay gần cty à kem xôi lò đúc là ông già tóc bạc à, bây giờ ăn chán lắm nhé"
